date,file_path,file_path
2014,src/pkg/syscall/mksyscall_windows.pl,1
2014,src/pkg/syscall/mkerrors_windows.sh,1
2014,src/runtime/arch_ppc64le.go,1
2014,src/pkg/syscall/asm_windows_386.s,1
2014,src/pkg/runtime/rune.c,1
2014,src/pkg/runtime/proc.p,1
2014,src/pkg/runtime/noasm_arm.goc,1
2014,src/pkg/runtime/mfinal.c,1
2014,src/pkg/runtime/export_test.c,1
2014,src/pkg/runtime/cpuprof.c,1
2014,src/pkg/runtime/alg.c,1
2014,src/pkg/runtime/time_plan9_386.c,1
2014,src/syscall/asm_darwin_arm.s,1
2014,src/lib9/utf/Makefile,1
2014,src/lib9/time.c,1
2014,src/cmd/6l/list.c,1
2014,src/cmd/6g/list.c,1
2014,src/cmd/5l/obj.go,1
2014,src/cmd/5l/noop.c,1
2014,src/cmd/5l/mkenam,1
2014,src/cmd/5l/list.c,1
2014,src/cmd/5g/list.c,1
2014,src/all.bash,1
2014,misc/xcode/4/go4xcode.sh,1
2014,misc/xcode/4/go.xclangspec,1
2014,misc/xcode/4/README,1
2014,misc/xcode/3/go.xclangspec,1
2014,misc/xcode/3/go.pbfilespec,1
2014,misc/xcode/3/README,1
2014,misc/vim/syntax/godoc.vim,1
2014,src/cmd/6l/mkenam,1
2014,misc/vim/syntax/go.vim,1
2014,src/cmd/8l/list.c,1
2014,src/cmd/addr2line/main.c,1
2014,src/cmd/go/testdata/norunexample/example_test.go,1
2014,src/cmd/go/testdata/dep_test.go,1
2014,src/cmd/go/testdata/cgocover/p_test.go,1
2014,src/cmd/go/testdata/cgocover/p.go,1
2014,src/cmd/go/http.go,1
2014,src/cmd/go/discovery.go,1
2014,src/cmd/go/context.go,1
2014,src/cmd/go/bootstrap.go,1
2014,src/cmd/gc/y.tab.h,1
2014,src/cmd/gc/md5.h,1
2014,src/cmd/gc/bisonerrors,1
2014,src/cmd/dist/util.go,1
2014,src/cmd/dist/buildgo.c,1
2014,src/cmd/dist/build.go,1
2014,src/cmd/compile/internal/gc/typecheck.go,1
2014,src/cmd/8l/mkenam,1
2014,misc/vim/plugin/godoc.vim,1
2014,misc/vim/indent/go.vim,1
2014,misc/vim/ftplugin/go/test.sh,1
2014,misc/goplay/goplay.go,1
2014,misc/goplay/doc.go,1
2014,misc/goplay/README,1
2014,misc/goplay/Makefile,1
2014,misc/fraise/readme.txt,1
2014,misc/fraise/go.plist,1
2014,misc/emacs/go-mode-load.el,1
2014,misc/editors,1
2014,misc/chrome/gophertool/popup.html,1
2014,misc/cgo/testtls/tls.go,1
2014,misc/cgo/testgodefs/issue8478.go,1
2014,misc/cgo/testgodefs/anonunion.go,1
2014,misc/cgo/testcdefs/cdefstest.c,1
