dir	additions	deletions	changes
misc/cgo/testshared/src/implicit	0	5	5
src/cmd/internal/archive/testdata/mycgo	5	0	5
src/cmd/go/testdata/shadow/root1/src/foo	1	4	5
misc/cgo/testplugin/testdata/issue52937	0	5	5
src/cmd/go/testdata/shadow/root1/src/math	1	4	5
src/cmd/go/testdata/src/testnorun	0	5	5
src/embed/internal/embedtest/testdata/.hidden/more	5	0	5
src/cmd/go/testdata/shadow/root2/src/foo	1	4	5
src/embed/internal/embedtest/testdata/.hidden/_more	5	0	5
src/os/testdata	5	0	5
src/cmd/internal/goobj/testdata/mycgo	0	5	5
src/cmd/go/testdata/src/empty/testxtest	0	6	6
src/cmd/internal/gcprog	2	4	6
src/cmd/go/testdata/src/cgoasm	0	6	6
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/atomic	3	3	6
src/cmd/go/testdata/src/empty/pkgtest	0	6	6
test/fixedbugs/bug222.dir	4	2	6
misc/cgo/test/testdata/issue24161e2	3	3	6
src/cmd/go/testdata/importcom/src/works/x	0	6	6
misc/cgo/test/testdata/issue24161e1	3	3	6
src/cmd/go/testdata/src/empty/pkgxtest	0	6	6
misc/cgo/test/testdata/issue24161e0	3	3	6
src/cmd/go/testdata/src/badc	0	6	6
src/cmd/go/testdata/importcom/src/conflict	0	6	6
src/cmd/internal/xcoff/testdata	0	7	7
src/cmd/go/testdata/src/my.pkg/main	0	7	7
test/fixedbugs/issue4510.dir	4	4	8
src/cmd/vet/testdata/src/testingpkg	4	4	8
misc/cgo/testplugin/testdata/issue18676	4	4	8
test/ken	4	4	8
misc/cgo/testshared/src/exe2	0	8	8
misc/cgo/testshared/src/execgo	0	8	8
src/vendor/golang_org/x/text/secure	0	8	8
misc/cgo/testcshared/testdata/libgo2	4	4	8
src/cmd/go/testdata/importcycle/src/selfimport	0	9	9
src/cmd/go/testdata/src/testdep/p2	0	9	9
src/cmd/go/testdata/src/canonical/a	0	9	9
src/cmd/go/testdata/src/testdep/p3	0	9	9
misc/cgo/testcshared/src/go2c2go/go	8	1	9
src/cmd/go/testdata/src/canonical/b	0	9	9
src/cmd/go/testdata/src/not_main	0	9	9
src/cmd/go/testdata/src/my.pkg	0	9	9
src/cmd/go/testdata/src/vend/vendor/strings	0	9	9
src/cmd/go/testdata/src/empty/pkgtestxtest	0	9	9
src/crypto/internal/edwards25519	4	5	9
misc/cgo/testshared/src/explicit	0	9	9
src/cmd/link/internal/ld/testdata/issue25459/main	6	3	9
src/cmd/go/testdata/testvendor2/src/p	0	9	9
src/cmd/go/testdata/testvendor/src/q/z	0	9	9
src/cmd/go/testdata/testvendor/src/q/y	0	9	9
src/cmd/go/testdata/src/coverdot1	0	9	9
src/os/testdata/issue37161	9	0	9
src/cmd/go/testdata/testinternal4/src/q/j	0	9	9
src/cmd/go/testdata/testinternal3	0	9	9
src/cmd/go/testdata/src/coverdep/p1	0	9	9
src/cmd/go/testdata/testinternal2	0	9	9
