date,dir,dir
2012,misc/git,1
2012,misc/dist/darwin/etc/paths.d,1
2012,misc/dist/darwin/Resources,1
2010,misc/zsh,1
2010,pkg,1
2010,src/cmd/gomake,1
2010,src/pkg/container/ring,1
2010,src/pkg/http/testdata,1
2011,doc/play,1
2011,misc/IntelliJIDEA,1
2011,misc/dashboard/app/cache,1
2011,misc/fraise,1
2011,misc/nacl,1
2011,misc/osx/etc/paths.d,1
2011,misc/vim/autoload/go,1
2011,src/pkg/archive/tar/testdata,1
2011,src/pkg/container/list,1
2011,src/pkg/encoding/json/testdata,1
2011,src/pkg/exp/gotype/testdata,1
2011,src/pkg/go/build/cmdtest,1
2011,src/pkg/net/http/cgi/testdata,1
2011,test/fixedbugs/bug369.dir,1
2011,test/fixedbugs/bug382.dir,1
2012,include/plan9/386,1
2012,include/plan9/amd64,1
2012,include/plan9/arm,1
2012,misc/bash,1
2012,misc/dashboard,1
2012,misc/dashboard/app/cache,1
2012,misc/dashboard/godashboard/static,1
2012,test/fixedbugs/bug324.dir,1
2014,misc/vim/plugin,1
2012,test/fixedbugs/bug345.dir,1
2013,include/plan9/arm,1
2013,src/pkg/debug/elf/testdata,1
2013,src/pkg/debug/macho,1
2013,src/pkg/encoding,1
2013,src/pkg/encoding/hex,1
2013,src/pkg/exp/gotype/testdata,1
2013,src/pkg/exp/html/testdata,1
2013,src/pkg/expvar,1
2013,src/pkg/hash,1
2013,src/pkg/mime/multipart/testdata,1
2013,src/pkg/net/http/cgi/testdata,1
2013,src/pkg/net/http/pprof,1
2013,src/pkg/strconv/testdata,1
2013,src/pkg/crypto/rsa/testdata,1
2013,src/pkg/testing/iotest,1
2013,test/bench/shootout,1
2013,test/dwarf,1
2013,test/fixedbugs/issue4326.dir,1
2014,doc/codewalk,1
2014,misc/IntelliJIDEA,1
2014,misc/bbedit,1
2014,misc/cgo/testtls,1
2014,misc/kate,1
2014,misc/nacl/testdata/bin,1
2014,misc/vim/autoload/go,1
2014,misc/vim/compiler,1
2014,misc/vim/ftdetect,1
